customer_id,month,txn_count,txn_amount,login_count,support_contacts,utilization_ratio,churn_start_month,final_decay,churned_flag
768805383,1,2,74.19,7,0,0.07,,,0
768805383,2,1,61.57,6,0,0.053,,,0
768805383,3,4,45.46,3,0,0.059,,,0
768805383,4,6,56.31,4,0,0.072,,,0
768805383,5,3,33.57,4,0,0.056,,,0
768805383,6,5,31.09,4,1,0.072,,,0
768805383,7,3,86.75,3,0,0.062,,,0
768805383,8,0,68.95,3,0,0.066,,,0
768805383,9,1,62.66,5,1,0.058,,,0
768805383,10,5,86.88,4,1,0.052,,,0
768805383,11,2,95.26,7,0,0.06,,,0
768805383,12,0,92.09,7,0,0.064,,,0
818770008,1,1,65.62,17,0,0.111,,,0
818770008,2,1,76.05,9,1,0.094,,,0
818770008,3,1,95.11,15,0,0.082,,,0
818770008,4,1,33.26,12,0,0.106,,,0
818770008,5,1,101.86,15,1,0.099,,,0
818770008,6,0,85.95,10,1,0.096,,,0
818770008,7,3,84.8,14,2,0.098,,,0
818770008,8,4,125.07,13,0,0.117,,,0
818770008,9,3,99.21,9,3,0.102,,,0
818770008,10,2,61.62,8,0,0.104,,,0
818770008,11,1,73.7,13,2,0.115,,,0
818770008,12,3,91.55,5,0,0.111,,,0
713982108,1,0,148.1,9,0,0.0,,,0
713982108,2,1,78.72,8,0,0.0,,,0
713982108,3,1,120.28,8,0,0.0,,,0
713982108,4,2,159.73,5,0,0.0,,,0
713982108,5,2,138.53,7,2,0.0,,,0
713982108,6,1,203.25,6,0,0.0,,,0
713982108,7,2,141.69,12,0,0.0,,,0
713982108,8,2,179.04,6,2,0.0,,,0
713982108,9,3,273.25,3,3,0.0,,,0
713982108,10,0,120.83,7,0,0.0,,,0
713982108,11,1,179.85,10,4,0.0,,,0
713982108,12,3,291.77,5,0,0.0,,,0
769911858,1,1,83.1,7,0,0.839,,,0
769911858,2,0,77.62,7,2,0.81,,,0
769911858,3,2,92.82,7,1,0.861,,,0
769911858,4,3,131.06,8,1,0.757,,,0
769911858,5,0,125.59,10,1,0.851,,,0
769911858,6,2,102.2,14,1,0.816,,,0
769911858,7,4,121.94,13,1,0.749,,,0
769911858,8,0,115.78,13,0,0.725,,,0
769911858,9,1,140.63,9,0,0.673,,,0
769911858,10,0,100.2,8,0,0.896,,,0
